file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
argentine_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,559.5,1442.1,2556.6,-33.5,-64.1,-24.9,-2.4,40.9,152,-24,22.4,-91,49.2,-128.6,-41.7,27.5,-37.4,-96.5
argentine_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,535.6,1571.8,2702.5,-22.4,-49.6,11.7,36.9,-46.9,266.7,11.3,-48.9,-78.9,123.2,96.6,68.1,-46.1,132.5,43.3
argentine_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,509.7,1656.4,2442.4,54.2,-106.8,-17.9,-35.8,75.8,93.7,13.7,-183.7,-155.8,32.3,-182.9,-78.4,27.1,83.3,131.8
argentine_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,540.6,1543.8,2506.3,-4.2,-94.7,-61.1,-0.3,-68.2,-52.3,21.1,-149.9,-28.5,68.8,-32.3,-62.7,-42.1,-28.2,51.4
argentine_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,508.7,1708.1,2685.3,-12.1,-189.7,-47.1,84.2,-183,-1,-67.9,-41.4,-22.8,69.5,-57.5,110.8,-62.4,29.4,-39
argentine_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,525,1567.6,2588.1,-18.6,123.4,-105.1,17.8,-379.5,-66.3,-17.3,-45.1,-91.1,22.8,-38.9,130.9,-39.7,-47.5,-80.7
argentine_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,474.7,1767.3,2540.5,-25.5,-98.1,-163.2,56.2,-87.7,73.4,-1.4,-229.2,-106.2,56.4,-204.4,-63.1,-71.1,59.2,15.5
argentine_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,470,1725.3,2557.7,31.7,-79.4,-40.4,-41.5,124.7,87.7,22.3,132.3,62.3,20.3,-49,78.8,7.1,45.2,75.9
argentine_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,523.5,1600,2530.5,-47.8,117.5,-24.2,52.2,32.3,94.2,-30.7,30.5,4.4,29.8,221.5,118.8,-5.7,98.5,11.3
argentine_mismatch_interrogative-total-yn_El-nino-oye-el-rio,492.2,1747.7,2587.5,-2.8,270.6,148.6,-6,-23.5,19.8,-5.2,120.9,34.5,44.1,-239.3,-61.1,24.9,-1.7,-19.7
argentine_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,500.8,1766.2,2635.3,119,-146.4,-49.1,27,82.7,177.2,-25.9,-25.2,-44.6,-46.7,-115.8,-15.7,-94.7,195.4,107.8
