file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
andalusian_statement_filler_Alberto-nunca-se-afeita,215.9,1.318,*,1,Red,65,5900,485,1745,2708,474,1910,2865,459,1137,2618,650,1905,2767,504,1923,2738
argentine_match_declarative-broad-focus_Ana-lleva-el-abrigo,110.2,1.046,*,1,Blue,66,5000,700,1498,2428,608,1771,2595,558,1497,2384,504,1523,2427,441,1361,2556
argentine_match_declarative-broad-focus_Daniel-iba-a-Bolivia,113.3,1.3,*,1,Green,67,5150,595,1607,2112,475,2206,2789,531,1214,2484,360,1827,2638,597,1762,2537
argentine_match_declarative-broad-focus_David-leia-el-libro,110.6,1.288,*,1,Magenta,68,4850,514,1526,2313,399,1886,2716,446,2225,2751,349,1921,2632,490,1519,2403
argentine_match_declarative-broad-focus_Emilio-ama-la-marcha,116,1.326,*,1,Black,69,5300,457,1962,2642,420,1975,2718,626,1451,2418,599,1322,2345,691,1595,2725
argentine_match_declarative-broad-focus_Manuela-vende-el-carro,112.9,1.334,*,1,Lime,70,5150,433,1393,2138,581,1614,2459,549,1720,2582,616,1605,2410,620,1223,2263
argentine_match_declarative-broad-focus_Maria-bebe-el-vino,108.9,1.068,*,1,Purple,71,6350,1142,1957,3220,515,1906,2490,501,1639,2376,328,1973,2492,492,1779,2909
argentine_match_declarative-broad-focus_Mariano-habla-del-tiempo,106.9,1.226,*,1,Teal,72,5300,610,1607,2560,620,1619,2542,595,1524,2623,497,1976,2721,505,1226,2440
argentine_match_declarative-broad-focus_Marta-abre-el-regalo,116.1,1.31,*,1,Navy,73,5150,717,1389,2432,667,1376,2457,529,1659,2563,534,1713,2382,554,1559,2525
argentine_match_declarative-narrow-focus_Ana-lleva-el-abrigo,112.7,1.112,*,1,Pink,74,4850,625,1484,2412,547,1738,2557,569,1446,2314,490,1597,2464,511,1380,2524
argentine_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,107.1,1.216,*,1,Maroon,75,5450,542,1696,2653,388,2201,2822,503,1248,2377,359,1968,2657,589,1727,2461
argentine_match_declarative-narrow-focus_David-leia-el-libro,102,1.08,*,1,Olive,76,5300,569,1655,2464,384,1877,2654,412,2130,2700,360,1997,2704,494,1468,2425
argentine_match_declarative-narrow-focus_Emilio-ama-la-marcha,107,1.326,*,1,Grey,77,5150,578,1885,2564,449,2158,2667,677,1334,2449,592,1333,2252,650,1550,2695
argentine_match_declarative-narrow-focus_Manuela-vende-el-carro,109.1,1.454,*,1,Red,78,5000,647,1496,2419,539,1683,2603,566,1542,2353,565,1712,2466,596,1366,2322
argentine_match_declarative-narrow-focus_Maria-bebe-el-vino,105.9,1.172,*,1,Blue,79,5150,611,1470,2350,491,2159,2754,524,1663,2359,364,1816,2568,662,1826,2724
argentine_match_declarative-narrow-focus_Mariano-habla-del-tiempo,104,1.404,*,1,Green,80,5300,564,1574,2538,553,1605,2581,597,1471,2636,479,2040,2802,514,1333,2374
argentine_match_declarative-narrow-focus_Marta-abre-el-regalo,109.6,1.256,*,1,Magenta,81,5000,662,1367,2268,654,1381,2309,541,1419,2501,545,1693,2377,645,1577,2465
argentine_match_interrogative-partial-wh_Cuando-bebia-el-vino,105.5,1.09,*,1,Black,82,6200,618,1392,2680,517,1368,2496,413,1917,2461,339,1765,2591,439,1795,2990
argentine_match_interrogative-partial-wh_Cuando-leia-el-libro,107.8,1.04,*,1,Lime,83,5300,630,1301,2451,480,1485,2614,448,2129,2630,380,1980,2702,455,1555,2439
argentine_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,110.7,1.162,*,1,Purple,84,4850,583,1325,2368,539,1781,2666,546,1421,2332,514,1586,2320,445,1202,2565
argentine_match_interrogative-partial-wh_Cuando-vendia-el-carro,106.3,1.062,*,1,Teal,85,5450,590,1209,2472,530,1390,2581,448,1979,2712,618,1472,2555,519,1157,2431
argentine_match_interrogative-partial-wh_Por-que-abre-el-regalo,109.5,1.106,*,1,Navy,86,4850,509,1224,2389,528,1710,2432,523,1500,2289,541,1608,2298,586,1556,2420
argentine_match_interrogative-partial-wh_Por-que-ama-la-navidad,108.2,1.206,*,1,Pink,87,5300,500,1191,2268,603,1845,2438,558,1476,2423,516,1798,2610,628,1563,2762
argentine_match_interrogative-partial-wh_Por-que-hablaba-del-agua,112.4,1.304,*,1,Maroon,88,5450,491,1464,2509,564,1666,2414,611,1291,2405,550,1642,2664,572,963,2189
argentine_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,117.1,1.062,*,1,Olive,89,6050,483,1469,2520,450,2096,2515,545,1119,2420,342,2125,2649,659,1650,2504
argentine_match_interrogative-total-yn_Ana-lleva-el-abrigo,118.4,1.294,*,1,Grey,90,5000,688,1580,2393,614,1784,2658,576,1426,2316,403,1955,2583,572,988,2496
argentine_match_interrogative-total-yn_Daniel-iba-a-Bolivia,127,1.354,*,1,Red,91,5150,572,1711,2690,479,2089,2692,542,1250,2447,373,2123,2524,592,1545,2633
argentine_match_interrogative-total-yn_David-leia-el-libro,114.6,1.272,*,1,Blue,92,5000,538,1498,2344,420,1941,2642,409,2097,2689,397,1918,2588,542,1291,2346
argentine_match_interrogative-total-yn_Emilio-ama-la-marcha,116.8,1.53,*,1,Green,93,5150,496,1992,2613,455,1788,2527,657,1393,2371,602,1352,2458,631,1475,2656
argentine_match_interrogative-total-yn_Manuela-vende-el-carro,119.1,1.398,*,1,Magenta,94,5000,520,1486,2200,584,1554,2556,478,1809,2626,631,1455,2317,541,1033,2421
argentine_match_interrogative-total-yn_Maria-bebe-el-vino,115,1.212,*,1,Black,95,5000,564,1711,2608,498,1703,2447,484,1730,2417,338,1885,2627,524,1305,2229
argentine_match_interrogative-total-yn_Mariano-habla-del-tiempo,114.2,1.458,*,1,Lime,96,5000,674,1796,2586,581,1485,2396,572,1765,2692,443,1810,2435,542,1092,2431
argentine_match_interrogative-total-yn_Marta-abre-el-regalo,126.8,1.288,*,1,Purple,97,5000,696,1353,2329,590,1307,2286,507,1793,2570,523,1620,2419,556,1097,2462
argentine_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,104.4,1.462,*,1,Teal,98,5300,499,1755,2657,501,1637,2447,506,1661,2562,357,1824,2372,493,1818,2570
argentine_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,108.3,1.128,*,1,Navy,99,4850,510,1941,2573,492,1399,2365,470,1774,2557,424,1606,2379,577,1524,2262
argentine_mismatch_declarative-broad-focus_El-nino-oye-el-rio,111.6,1.504,*,1,Pink,100,5150,509,2022,2866,442,2120,2716,610,1244,2619,423,1502,2605,596,1322,2480
argentine_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,110,1.382,*,1,Maroon,101,5600,633,1592,2527,655,1950,2746,495,1723,2475,525,1428,2309,528,1900,2866
argentine_mismatch_declarative-broad-focus_La-nina-lava-el-plato,107.2,1.206,*,1,Olive,102,5150,590,1820,2693,463,2186,2664,622,1630,2486,569,1647,2666,653,1532,2630
argentine_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,113.3,1.47,*,1,Grey,103,5150,361,1455,2423,556,1541,2716,532,1483,2570,530,1442,2489,670,1447,2619
argentine_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,120.4,1.63,*,1,Red,104,4850,415,1666,2309,504,1211,2483,451,1750,2545,517,1615,2577,676,1001,2308
argentine_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,117.9,1.574,*,1,Blue,105,5450,442,2287,2765,655,1814,2510,527,1627,2709,615,1680,2667,461,1714,2645
argentine_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,108.8,1.15,*,1,Green,106,5600,464,1740,2606,502,1652,2442,492,1567,2550,407,1882,2584,488,1853,2689
argentine_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,108.4,1.088,*,1,Magenta,107,4850,539,1762,2570,489,1525,2370,466,1673,2448,443,1592,2364,581,1612,2345
argentine_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,115.8,1.3,*,1,Black,108,4700,530,1805,2638,320,886,2444,564,1443,2410,398,1449,2509,507,1692,2487
argentine_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,109.9,1.272,*,1,Lime,109,5450,643,1558,2608,644,1767,2631,455,1611,2481,438,2003,2692,618,1869,2772
argentine_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,104.5,1.206,*,1,Purple,110,5450,515,1762,2721,475,2157,2819,576,1487,2349,549,1604,2565,650,1438,2614
argentine_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,116,1.354,*,1,Teal,111,5150,403,1381,2420,565,1623,2623,537,1419,2463,574,1485,2654,721,1533,2667
argentine_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,106.8,1.25,*,1,Navy,112,4850,466,1664,2439,451,1692,2388,588,1813,2544,588,1546,2378,580,1004,2373
argentine_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,107.4,1.228,*,1,Pink,113,5300,433,2181,2692,520,1960,2604,477,1799,2674,544,1683,2670,432,1731,2609
argentine_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,108.7,1.272,*,1,Maroon,114,5300,619,1389,2597,580,1264,2597,549,1817,2628,497,1468,2693,644,1510,2760
argentine_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,107.4,1.168,*,1,Olive,115,5150,530,1413,2674,557,1511,2649,603,1142,2388,584,1541,2549,606,1520,2699
argentine_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,108.5,1.118,*,1,Grey,116,6200,574,1410,2856,428,1424,2701,632,1539,2361,443,1672,2578,593,1663,2887
