session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
605cee943559b3a5be3b387c,5f14e0f456500058ee865863,APPROVED,2021-03-25 20:12:10.490000,2021-03-25 20:25:08.056000,777.566,39,456,0,100,2021-03-27 14:43:14.632000,3900423D,none just my native langauge,United States,United States,Ohio (OH),Ohio (OH),Part-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605cf11f543af3c50cd63057,5d83d2f1ae7a8b00017ec6a9,RETURNED,2021-03-25 20:23:12.657000,,348922.814147,40,952,8,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605cf4df77f4e7ac3fab1b69,5ff136c3c9707d53b32b08d2,RETURNED,2021-03-25 20:38:58.720000,,347976.75126,31,164,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605cfb896d58ea1f5b7767b4,5fb596ff69ed590fff92ba8f,APPROVED,2021-03-25 21:10:58.098000,2021-03-25 21:25:04.095000,845.997,23,239,0,100,2021-03-27 14:43:42.120000,3900423D,native language + one other language,United States,United States,Ohio (OH),Indiana (IN),Part-Time,I know one other language in addition to English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605d093306de57ced4cbbc7b,5f32a66eb0b759099d33fb8c,APPROVED,2021-03-25 22:05:39.135000,2021-03-25 22:16:50.904000,671.769,32,330,1,100,2021-03-27 14:43:56.772000,3900423D,none just my native langauge,United States,United States,Indiana (IN),Indiana (IN),"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
605d09f56959a2e197c9163c,5f589f7bce1c040113809f12,RETURNED,2021-03-25 22:19:08.478000,,341967.010463,28,346,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605d28b0c52bd4a523f5d222,59e91cebae9f950001d8466a,APPROVED,2021-03-26 00:20:03.603000,2021-03-26 00:36:34.662000,991.059,30,1396,2,100,2021-03-27 14:44:13.956000,3900423D,none just my native langauge,United States,United States,Illinois (IL),Wisconsin (WI),Part-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605d40ee255f0604338d09e2,5e88dc8c101fec57cb09fa3a,APPROVED,2021-03-26 02:03:34.293000,2021-03-26 02:18:47.040000,912.747,27,175,1,100,2021-03-27 14:44:31.493000,3900423D,native language + one other language,United States,United States,Illinois (IL),Illinois (IL),Part-Time,I know one other language in addition to English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605d477a09dcd20478cc16f9,5e8601d90126b207e8c7a2aa,RETURNED,2021-03-26 02:31:25.278000,,326830.231616,40,466,5,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605d7e58dc2cb1ba0a5f0b28,60087dd9f095dd4b5982dbf8,RETURNED,2021-03-26 06:25:35.538000,,312779.971709,25,186,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605dd44ed1db2c148370202b,5f0499756b5d4972f0da9c78,APPROVED,2021-03-26 12:32:23.195000,2021-03-26 12:43:29.953000,666.758,27,309,1,100,2021-03-27 14:44:49.787000,3900423D,none just my native langauge,United States,United States,Maryland (MD),Maryland (MD),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605de26b97d6aa2cb467b210,5edec41934077316a30b8831,RETURNED,2021-03-26 13:32:34.159000,,287161.359987,26,336,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605dfb64e2e69cfb942eac24,5cb0cfc643e80b00010a384b,RETURNED,2021-03-26 15:19:07.669000,,280767.85008,37,1234,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605e060816e1d2d8c2b69059,5fb6da2d039b27111314d871,APPROVED,2021-03-26 16:04:26.564000,2021-03-26 16:16:31.181000,724.617,27,196,0,100,2021-03-27 14:45:05.182000,3900423D,none just my native langauge,United States,United States,Illinois (IL),Illinois (IL),DATA EXPIRED,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605e09743e524c856818bf05,5f582002dff3f038d1eb83c4,APPROVED,2021-03-26 16:19:03.075000,2021-03-26 16:31:51.307000,768.232,23,451,1,100,2021-03-27 14:45:20.979000,3900423D,none just my native langauge,United States,United States,Illinois (IL),Illinois (IL),Full-Time,I know one other language in addition to English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605e1af5e22bfb8fc5290cc2,5c59aecb6ca5e600017206de,APPROVED,2021-03-26 17:33:44.261000,2021-03-26 17:47:47.902000,843.641,26,1035,1,100,2021-03-27 14:45:34.940000,3900423D,none just my native langauge,United States,United States,Ohio (OH),Ohio (OH),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
