soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
argentine_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia, 4, 0, 1.43, 1.43, 2.80, 2.80, 0.357
argentine_question_filler_A-Jaime-le-gusta-su-piso, 6, 0, 1.61, 1.61, 3.72, 3.72, 0.269
argentine_question_filler_Carlos-escribe-una-carta, 7, 0, 1.43, 1.43, 4.90, 4.90, 0.204
argentine_question_filler_Carlos-trae-a-sus-hijos, 5, 0, 1.44, 1.44, 3.48, 3.48, 0.288
argentine_question_filler_Carolina-baila-flamenco, 8, 0, 1.55, 1.55, 5.17, 5.17, 0.194
argentine_question_filler_El-chico-escribia-una-carta, 7, 0, 1.53, 1.53, 4.57, 4.57, 0.219
argentine_question_filler_El-equipo-gana-la-competencia, 9, 0, 1.72, 1.72, 5.22, 5.22, 0.192
argentine_question_filler_El-estudiante-practica-deportes, 7, 0, 1.91, 1.91, 3.67, 3.67, 0.272
argentine_question_filler_El-estudiante-toma-apuntes, 6, 0, 1.48, 1.48, 4.06, 4.06, 0.246
argentine_question_filler_Ella-compra-una-mochila, 6, 0, 1.32, 1.32, 4.54, 4.54, 0.220
argentine_question_filler_Felipe-no-tiene-contrasena, 9, 0, 1.52, 1.52, 5.93, 5.93, 0.169
argentine_question_filler_Isabel-puede-apagar-la-luz, 6, 0, 1.68, 1.68, 3.57, 3.57, 0.280
argentine_question_filler_Jaime-tenia-una-tienda, 6, 0, 1.34, 1.34, 4.48, 4.48, 0.223
argentine_question_filler_Jose-visitaba-la-playa, 7, 0, 1.55, 1.55, 4.51, 4.51, 0.222
argentine_question_filler_Juan-quiere-un-bistec, 4, 0, 1.11, 1.11, 3.59, 3.59, 0.278
argentine_question_filler_La-chica-abre-su-libro, 5, 0, 1.22, 1.22, 4.09, 4.09, 0.245
argentine_question_filler_La-vecina-sale-muy-temprano, 6, 0, 1.55, 1.55, 3.86, 3.86, 0.259
argentine_question_filler_Lucia-compra-el-jabon, 6, 0, 1.43, 1.43, 4.20, 4.20, 0.238
argentine_question_filler_Lucia-va-a-la-iglesia, 3, 0, 1.25, 1.25, 2.40, 2.40, 0.417
argentine_question_filler_Maria-se-peina-en-la-manana, 6, 0, 1.65, 1.65, 3.64, 3.64, 0.275
argentine_question_filler_Mi-amiga-mira-la-luna, 4, 0, 1.30, 1.30, 3.09, 3.09, 0.324
argentine_question_filler_Mi-amigo-no-comia-pollo, 6, 0, 1.52, 1.52, 3.96, 3.96, 0.253
argentine_question_filler_Mi-esposo-conoce-al-chico, 7, 0, 1.54, 1.54, 4.55, 4.55, 0.220
argentine_question_filler_Mi-familia-cenaba-tarde, 5, 0, 1.55, 1.55, 3.23, 3.23, 0.310
argentine_question_filler_Mi-hermano-cierra-la-puerta, 8, 0, 1.48, 1.48, 5.42, 5.42, 0.185
argentine_question_filler_Mi-hija-prefiere-los-perros, 7, 0, 1.49, 1.49, 4.69, 4.69, 0.213
argentine_question_filler_Mi-padre-cantaba-bien, 4, 0, 1.33, 1.33, 3.00, 3.00, 0.333
argentine_question_filler_Mi-vecino-habla-mucho, 4, 0, 1.18, 1.18, 3.39, 3.39, 0.295
argentine_question_filler_Mi-vecino-trae-comida, 4, 0, 1.42, 1.42, 2.82, 2.82, 0.354
argentine_question_filler_Pablo-lavaba-su-coche, 6, 0, 1.42, 1.42, 4.22, 4.22, 0.237
argentine_question_filler_Rogelio-cuida-a-los-ninos, 4, 0, 1.65, 1.65, 2.43, 2.43, 0.412
argentine_question_filler_Sandra-corre-en-el-parque, 7, 0, 1.33, 1.33, 5.25, 5.25, 0.191
argentine_question_filler_Sofia-no-quiere-la-revista, 8, 0, 1.74, 1.74, 4.60, 4.60, 0.218
argentine_statement_filler_Alberto-nunca-se-afeita, 6, 0, 1.52, 1.52, 3.96, 3.96, 0.253
argentine_statement_filler_Ana-practicaba-el-yoga, 5, 0, 1.41, 1.41, 3.56, 3.56, 0.281
