session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
605917217b99c9c6a455d489,5e14bd64617219ae6593485a,APPROVED,2021-03-22 22:16:04.808000,2021-03-22 22:25:46.071000,581.263,25,337,3,99,2021-03-24 16:18:07.821000,3900423D,none just my native langauge,United States,United States,Maine (ME),Maine (ME),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
60591b964d5f6c7d17ed0b67,58f0fca0d40252000192f201,APPROVED,2021-03-22 22:35:06.175000,2021-03-22 22:49:16.642000,850.467,40,2151,2,100,2021-03-24 16:18:32.526000,3900423D,none just my native langauge,United States,United States,New York (NY),New York (NY),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
60592f746f8a16cb31e7470d,6023df587f535406af0c7fcb,APPROVED,2021-03-22 23:59:53.524000,2021-03-23 00:13:14.743000,801.219,18,38,0,100,2021-03-24 16:18:54.898000,3900423D,none just my native langauge,United States,,Pennsylvania (PA),Pennsylvania (PA),Part-Time,I only know English,White/Caucasian,White,English,,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
605933cc0d59a0a44582d0e4,5c75471e5eb59f000131c7a4,APPROVED,2021-03-23 00:18:23.224000,2021-03-23 00:28:02.638000,579.414,37,885,0,100,2021-03-24 16:19:25.943000,3900423D,none just my native langauge,United States,United States,New York (NY),New York (NY),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605939bf15a49abad460e96d,5d61798f7ad20f001b74922e,APPROVED,2021-03-23 00:43:46.957000,2021-03-23 00:56:25.874000,758.917,28,520,1,100,2021-03-24 16:19:45.129000,3900423D,none just my native langauge,United States,United States,New York (NY),New York (NY),Other,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
60593b162c8e04a66f34ee9c,5f3d1db8a6057b0217f30a13,APPROVED,2021-03-23 00:52:27.452000,2021-03-23 01:12:43.143000,1215.691,38,464,2,100,2021-03-24 16:20:06.889000,3900423D,none just my native langauge,United States,United States,Pennsylvania (PA),Pennsylvania (PA),"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
60593f2c640aa93f08c25732,5f9710e93c0e4a07c48e98d9,APPROVED,2021-03-23 01:13:08.770000,2021-03-23 01:32:34.717000,1165.947,40,359,0,100,2021-03-23 04:18:26.648000,3900423D,native language + one other language,United States,United States,New York (NY),New York (NY),Full-Time,I know one other language in addition to English,Black/African American,Black,English,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
60594b1f4b3039ee8bcfbfdb,5fc00932d6371d37ee128423,APPROVED,2021-03-23 01:57:56.634000,2021-03-23 02:13:51.238000,954.604,24,243,0,100,2021-03-24 16:20:34.321000,3900423D,none just my native langauge,United States,United States,Pennsylvania (PA),Pennsylvania (PA),Other,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
60596a01c57551d943ff1b00,5ffef0a1255d0c5fd3bdfd6a,APPROVED,2021-03-23 04:09:40.469000,2021-03-23 04:19:52.858000,612.389,28,132,0,100,2021-03-24 16:21:00.440000,3900423D,none just my native langauge,United States,United States,New York (NY),New York (NY),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
6059f718af56886e6ae0a51f,5d5af833f35ed70001e17a5c,REJECTED,2021-03-23 14:11:53.758000,2021-03-23 14:18:50.949000,417.191,26,939,10,98,2021-03-24 16:23:19.115000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),New Jersey (NJ),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605a07241f654ac1c8afba12,602854edbf92e76fc9c56355,APPROVED,2021-03-23 15:20:10.115000,2021-03-23 15:31:01.331000,651.216,23,49,0,100,2021-03-24 16:25:54.041000,3900423D,native language + one other language,United States,United States,New Jersey (NJ),New Jersey (NJ),Part-Time,I know one other language in addition to English,White/Caucasian,White,English,,"English, Spanish",No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
