session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
602b235c4634b2263c3f9861,5ef7d6d644e04e51f7340636,APPROVED,2021-02-16 01:44:10.811000,2021-02-16 01:47:46.464000,215.653,26,77,0,100,2021-02-16 18:19:52.818000,7BA7FE99,native language + one other language,Chile,Chile,Other,,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b23760a10ab2522eab7b7,5f8b2b66589aeb222f9baa90,APPROVED,2021-02-16 01:44:25.333000,2021-02-16 01:56:57.508000,752.175,23,37,0,100,2021-02-16 05:10:42.311000,7BA7FE99,native language + one other language,Mexico,Mexico,Full-Time,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Male,No,I was raised with my native language only
602b23b2478730261c157e99,5f06e85cf4e25a023d92fcc3,APPROVED,2021-02-16 01:45:22.467000,2021-02-16 01:50:21.620000,299.153,24,96,0,100,2021-02-16 14:32:14.211000,7BA7FE99,native language + one other language,Chile,Chile,Full-Time,Spanish,Spanish,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b2460c44c7f2707e647e5,5f2e35a740ade019596ebacd,APPROVED,2021-02-16 01:48:16.367000,2021-02-16 01:53:59.085000,342.718,23,4,0,100,2021-02-16 05:24:14.476000,7BA7FE99,none just my native langauge,Mexico,Mexico,Other,Spanish,,Spanish,No,none,No,I identify myself as a monocultural individual,Mexico,Female,Yes,I was raised with my native language only
602b247c612bfe253e493246,5d40bb74ddc382001c5e4664,APPROVED,2021-02-16 01:48:47.629000,2021-02-16 01:53:30.988000,283.359,21,26,0,100,2021-02-16 14:34:46.097000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),,Spanish,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b248924ce4c24a61f003c,5f7a155c6c029a66173d02b8,APPROVED,2021-02-16 01:49:12.617000,2021-02-16 01:57:01.376000,468.759,36,37,0,100,2021-02-16 05:14:13.050000,7BA7FE99,native language + one other language,Mexico,Mexico,Full-Time,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Female,No,I was raised with my native language only
602b24d42e76d0252ba129ac,5fa3356ef2ec2d4d3e52c988,APPROVED,2021-02-16 01:50:21.499000,2021-02-16 01:54:51.545000,270.046,21,31,1,99,2021-02-16 14:53:43.408000,7BA7FE99,native language + one other language,Chile,Chile,Other,Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b2593b1239024f68bb62b,5aa6502835237b00011305e5,RETURNED,2021-02-16 01:53:23.954000,,59470.600591,36,37,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602b263aaa64bc264ba68cfb,5f03f4271eb1e561e89abd87,APPROVED,2021-02-16 01:56:10.885000,2021-02-16 02:01:22.847000,311.962,21,70,1,100,2021-02-16 14:29:21.651000,7BA7FE99,native language + one other language,Mexico,Mexico,Other,,Spanish,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Mexico,Female,Yes,I was raised with my native language only
602b264dc4118f26914d6bb3,5edf2458316c241cbdf7abf5,APPROVED,2021-02-16 01:56:29.778000,2021-02-16 02:00:47.047000,257.269,22,60,0,100,2021-02-16 18:14:58.198000,7BA7FE99,none just my native langauge,Chile,Chile,Other,,Spanish,Spanish,No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b26880a29c424d3396c7e,5f494676e0837811e94a4007,APPROVED,2021-02-16 01:57:28.033000,2021-02-16 02:27:47.866000,1819.833,25,69,0,100,2021-02-16 05:06:03.884000,7BA7FE99,native language + one other language,Chile,Chile,Unemployed (and job seeking),Spanish,DATA EXPIRED,"English, Spanish",No,none,No,I identify myself as a monocultural individual,Chile,Male,Yes,I was raised with my native language only
602b26ac5f6c2425adcfc1ca,5f1b768bba959b371da3e65f,RETURNED,2021-02-16 01:58:04.617000,,59190.112574,21,58,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
602b2730a11bc824070be66c,5b90593873103d0001078b55,APPROVED,2021-02-16 02:00:16.214000,2021-02-16 02:06:42.431000,386.217,22,227,2,98,2021-02-16 05:20:49.240000,7BA7FE99,native language + one other language,Mexico,Mexico,Unemployed (and job seeking),Spanish,Spanish,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
602b27cae527c324b4d6019e,5e9569e57ca863415e6359bc,APPROVED,2021-02-16 02:12:34.481000,2021-02-16 02:18:11.186000,336.705,20,59,1,100,2021-02-16 05:25:23.886000,7BA7FE99,native language + one other language,Mexico,Mexico,Due to start a new job within the next month,Spanish,DATA EXPIRED,"Spanish, English",No,none,No,I identify myself as a monocultural individual,Mexico,Male,Yes,I was raised with my native language only
