39.7313 	EXP 	slider_eq_trial: markerPos = 2.007142857142857
39.7331 	DATA 	Mouse:  Left button up, pos=(982,319)
39.7512 	EXP 	slider_eq_trial: markerPos = 2.0
39.7512 	EXP 	slider_eq_trial: rating = 2.0
39.7525 	EXP 	New trial (rep=0, index=8): OrderedDict([('item_num', 9), ('item', 'I am at my best first thing in the morning.'), ('is_test_item', 0), ('is_distractor', 1), ('is_agree_score', 0), ('is_disagree_score', 0)])
39.7812 	EXP 	text_eq_question_trial: autoDraw = False
39.7812 	EXP 	slider_eq_trial: autoDraw = False
39.7812 	EXP 	text_eq_question_trial: text = 'I am at my best first thing in the morning.'
39.7812 	EXP 	slider_eq_trial: markerPos = None
39.7812 	EXP 	slider_eq_trial: markerPos = None
39.7812 	EXP 	slider_eq_trial: rating = None
39.7812 	EXP 	text_eq_question_trial: autoDraw = True
39.7812 	EXP 	slider_eq_trial: autoDraw = True
42.9371 	DATA 	Mouse: Left button down, pos=(425,321)
42.9644 	EXP 	slider_eq_trial: markerPos = 0.01785714285714296
42.9836 	EXP 	slider_eq_trial: markerPos = 0.01785714285714296
43.0028 	EXP 	slider_eq_trial: markerPos = 0.01785714285714296
43.0309 	EXP 	slider_eq_trial: markerPos = 0.01785714285714296
43.0328 	DATA 	Mouse:  Left button up, pos=(425,321)
43.0506 	EXP 	slider_eq_trial: markerPos = 0.0
43.0506 	EXP 	slider_eq_trial: rating = 0.0
43.0522 	EXP 	New trial (rep=0, index=9): OrderedDict([('item_num', 10), ('item', 'People often tell me that I went too far in driving my point home in a \n  discussion.'), ('is_test_item', 1), ('is_distractor', 0), ('is_agree_score', 0), ('is_disagree_score', 1)])
43.0809 	EXP 	text_eq_question_trial: autoDraw = False
43.0809 	EXP 	slider_eq_trial: autoDraw = False
43.0809 	EXP 	text_eq_question_trial: text = 'People often tell me that I went too far in driving my point home in a \n  discussion.'
43.0809 	EXP 	slider_eq_trial: markerPos = None
43.0809 	EXP 	slider_eq_trial: markerPos = None
43.0809 	EXP 	slider_eq_trial: rating = None
43.0809 	EXP 	text_eq_question_trial: autoDraw = True
43.0809 	EXP 	slider_eq_trial: autoDraw = True
49.7031 	DATA 	Mouse: Left button down, pos=(970,311)
49.7472 	EXP 	slider_eq_trial: markerPos = 1.9642857142857144
