e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
502.3,443.7,431.5,433.5,443.4,474.8,508.2,551.6,556.4,530.7,521.9,513.5,478.3,477.5,478.1,492.1,541.6,562,603,652.7
622.3,540.3,430.9,431.8,450.6,463.6,467.7,483.3,495.4,509.5,544.2,571.5,578.8,602.6,669.3,744.8,771.4,780.9,793.3,838.7
507.9,465,445.5,477.5,481.2,513.7,512.7,546.3,595,615.6,617.5,637.1,639.6,624.3,627.8,644.9,671,739,859.7,890.1
556,539.9,505.7,493.8,469.7,481.6,494.1,495.3,504.9,506.6,493.8,517.4,584.8,648.9,644.1,655.7,701,754.6,828.3,878.6
384.2,360.2,365.3,370.5,376.9,374.7,378.1,386.7,411,404.5,408.4,406.8,451,446.9,493.3,530.1,555.9,590.2,586.4,688.1
649.1,597.2,572,548.3,560.6,586.8,577.1,581.4,603.5,628.2,632.4,681.9,726.4,782.9,813.3,783.2,794.5,818.1,855.1,851.8
628.4,605.3,538.5,453.5,431.4,432.3,426.6,439,505.2,570.3,584.8,620.9,636.8,644.8,692.8,790.8,919.7,1018.7,1091.7,1148.2
817.8,629.7,416.2,370.1,391.7,396.9,395.2,394.3,397.2,412.5,448.4,463.5,478.2,507.3,595.3,648.3,675,738.6,813.7,841.9
510.8,507.9,490.7,483,512,536.2,581.3,617.2,643.6,693.1,710.6,724,735.6,745.3,771.2,832.7,905.2,946.4,993.9,1014.3
492.9,480.3,484.8,506.6,528.5,541.3,558.5,567.5,550.1,580.7,629.4,699.5,706.2,730.8,773.3,768.2,789.7,813.4,792.1,781.9
688.9,627.8,611.3,586.8,585.8,578.7,585.9,586,591,607.6,647.1,707,796.7,839.9,887.2,974.4,1010,1007.9,1033.4,1047.2
496.9,441.6,429.7,430.6,450.6,443.7,409.8,420.6,425.2,447.5,488.8,516.1,489.9,486.3,459.3,511.9,573.3,659.8,762.6,862.8
439.3,382.4,402.1,409.9,402.1,403.3,415.8,422.8,423.1,424.6,412.8,394.4,439.1,521,570.6,584.1,619.8,637,706.5,738.7
500.7,512.2,548.2,589.2,621.6,677.8,672.9,692,769.2,765.6,776.6,785.8,824.7,887.5,886.9,868.8,904.5,947.2,955.1,962.4
492.9,453.5,448.6,417.2,409,407.7,451,493.5,605.6,722.8,787.4,752.2,817.4,820.9,856.9,872.6,931.2,985.8,1023.3,1108.5
570,555.7,541.7,478.3,467.6,460.6,470.7,484.4,505.8,527.6,510.9,529.1,562.6,567.2,685.2,720,803.6,810.2,794.9,802.2
651.3,607.9,520.1,489.4,504.1,531.9,575.7,586.2,621,619.6,638,659.7,703.2,689.7,681.5,741.1,782.1,872.3,918.9,949.3
407.5,406.9,424.7,437.7,447.2,458.2,482.8,493.3,504.8,499,519.4,513.6,546.7,612,626.1,631.2,636.3,656.1,668.1,671.7
566.7,548.5,516.6,513.9,506.3,530.5,537,596.7,626.7,688.5,715,723.7,797.5,856.9,962.1,983.1,999.4,1043.9,1078.3,1131.2
515,418.4,387.7,380.8,378.9,383.5,406.3,415.2,429.5,459.9,493.8,497,532.3,635,705.5,702.5,711.7,721.4,727.2,780.3
539.4,450.1,345.7,295.7,297,302.7,309,319.2,325.3,339.6,362.3,392.5,427.7,486.5,493.3,505.4,584.9,587.7,602.8,582.5
532.2,493.6,479.9,478.6,492.1,498.6,524.6,518.6,490.6,472.9,462,485.8,483.2,501.3,540.9,550.3,594.5,586.4,648.4,744.8
541.1,456.4,462.9,514.1,539.4,566,606.3,627.1,655.7,704.8,698.7,723.2,753.9,792.3,856.4,865.4,944.4,1057.1,1105.6,1191.4
504.7,514.8,543.4,561.6,603.4,648.7,676.1,691.9,717.3,768.9,792.1,806.6,823.6,882.4,885.8,834.4,817.4,828,848.7,886.7
609.9,574.4,552.7,543.9,536.2,515.3,504.6,506.8,527.7,506.2,511.5,511.3,549.3,604.8,645.9,677.8,658.6,691.8,712.1,751.9
569.8,525.9,466.4,424.7,412.6,434.9,454.8,464.1,475.7,502.2,508,513.5,566.9,628.8,640.3,643.6,642.3,656.3,689.6,689.5
424.2,347,341.6,358.5,356.2,415.2,438.2,471.3,539.8,607.3,646.6,716.5,740.1,814,864.8,928.9,1020.4,1038.1,1020.9,1087.3
552.3,471.6,423.6,397.1,384.9,380.6,393.7,408,430.1,439.5,454,453.1,459.1,495,536.9,597.2,619.8,608.7,608.4,619.1
362.9,337.6,328.2,331.7,329.2,342.8,363.6,382.8,385.6,364.8,363.9,380.5,407.7,442.2,492.6,521.8,554.5,561,637.7,721.3
508.7,473.8,450.9,462.1,471.1,504.6,536.2,574.4,671.8,710.7,731.5,746.4,787.1,787.6,775.2,804.9,842.9,834.9,920.4,995.8
643.8,537,454.6,443,412.5,427.2,451.7,559.8,674.9,695.6,726,743.5,835,877,917.3,1009,1061,1112.7,1118.5,1134.4
394.6,375.7,315,314.4,317.1,335,366.5,388.3,396.6,405,428.4,425.6,443.6,453.1,473.7,541,609.8,629.9,635.3,669
506.4,459.9,454,472.8,471.2,484.2,505.3,514,531.6,541.6,566.2,601.7,635.8,669.8,665.6,707.4,761.3,800.8,832.7,893.4
464.7,502.1,493.9,494.8,491.4,513.1,541.5,573.3,586.4,565.7,566.1,584.3,599.2,619.7,586.7,563.7,552.7,571.6,608.6,644.7
641.2,584.9,569.5,556.5,577,630.7,649.4,678.5,728.5,752.1,756.8,767.6,806.4,820.1,838,815.1,814,815.9,814.1,857.3
472.5,427.4,427.6,446.6,522.9,572.3,563.7,597.6,622,660,723.8,846.1,882.8,834.7,892.3,976,978.2,1045.1,1089.6,1105.8
689,802.5,861.1,751.1,723.3,754.8,761.3,798.8,814.5,689.4,618.3,577,558.8,533.5,493.5,483.6,470.5,484.9,557.6,585.5
687,786,888.2,903.7,874.3,725.3,626.7,601.6,563,542.2,548.7,538.9,546.5,568.4,600.8,615.3,644.8,642.6,667,785.3
631.8,653.5,749.9,757.8,761.9,695.9,644.9,630.2,661.6,660.6,620.2,597.4,599.4,600.8,644.6,671.8,682.9,664,682.7,717.3
733.7,798.9,835.1,746,634.9,596.9,577.1,568.2,587.9,569.2,589.1,628.1,646.1,683.7,719.7,768.8,792.6,828,906.8,1031.9
622.2,637.2,701.4,731.2,626.1,618.9,584.6,581.6,587.5,551.3,541.6,538.2,570.9,618,671.7,716.3,758.2,778.9,799.1,812.9
656.1,774.1,792,774.6,596,532.1,511.7,552.9,557,533.6,525.6,528.6,533.7,538,548.3,528.4,550.5,556.4,573.7,633.5
690.4,698.1,781.1,814.1,781.1,693.9,660.4,621.6,609,623.8,600.4,601.8,601.2,602.2,641,666.7,730.3,749.7,780.9,833.1
681.3,717.1,706.3,644.7,574,484.4,443.5,471.8,505.6,544.5,543.7,580.4,638.9,635.4,649.5,692.2,722.4,759.7,835.5,923.4
