participant,effect,q_type,estimate,se,lextale_std,eq_std,q_sum
5acacdcd0527ba0001c24bad,drift_rate,wh,1.0394031605,0.06597476695171349,-0.5114109228027005,-0.9652409197379954,-1
5adfbd52f6b58c0001fa8f3c,boundary_separation,yn,1.1742445075,0.15596711051839318,0.07867860350810778,1.51380225876585,1
5adfbd52f6b58c0001fa8f3c,boundary_separation,wh,1.3300151965,0.18143967999719807,0.07867860350810778,1.51380225876585,-1
5adfbd52f6b58c0001fa8f3c,drift_rate,yn,1.45930826,0.031094088240920765,0.07867860350810778,1.51380225876585,1
5adfbd52f6b58c0001fa8f3c,drift_rate,wh,1.29841229,0.03996102821054185,0.07867860350810778,1.51380225876585,-1
5aea962d0ef2f20001858c9c,boundary_separation,yn,1.081370968,0.18278984047694982,-0.4376497320138495,-1.0403634402987179,1
5aea962d0ef2f20001858c9c,boundary_separation,wh,1.275144479,0.1696993660624976,-0.4376497320138495,-1.0403634402987179,-1
5aea962d0ef2f20001858c9c,drift_rate,yn,1.53638372,0.029823605442373852,-0.4376497320138495,-1.0403634402987179,1
5aea962d0ef2f20001858c9c,drift_rate,wh,1.423149875,0.02634879247454821,-0.4376497320138495,-1.0403634402987179,-1
5aede0b676b763000132f6a4,boundary_separation,yn,1.4548990095,0.22244717291832028,-0.9539780675358067,0.3869644503550112,1
5aede0b676b763000132f6a4,boundary_separation,wh,1.40020964,0.23631636062341843,-0.9539780675358067,0.3869644503550112,-1
5aede0b676b763000132f6a4,drift_rate,yn,1.269914856,0.05608987597901188,-0.9539780675358067,0.3869644503550112,1
5aede0b676b763000132f6a4,drift_rate,wh,1.2741275625,0.05429373811538827,-0.9539780675358067,0.3869644503550112,-1
5b15d20c444cef0001cb1153,boundary_separation,yn,2.82883633,0.41531690256225795,-1.1752616399023599,0.6123320120371789,1
5b15d20c444cef0001cb1153,boundary_separation,wh,2.608389205,0.37096528323564326,-1.1752616399023599,0.6123320120371789,-1
5b15d20c444cef0001cb1153,drift_rate,yn,1.701719783,0.1995961574663991,-1.1752616399023599,0.6123320120371789,1
5b15d20c444cef0001cb1153,drift_rate,wh,1.7842091075,0.21096691339029125,-1.1752616399023599,0.6123320120371789,-1
5b50881a59119400018abaf3,boundary_separation,yn,1.447779603,0.20107249598596375,0.07867860350810778,2.3401499849337983,1
5b50881a59119400018abaf3,boundary_separation,wh,1.4247049835,0.27114735114957134,0.07867860350810778,2.3401499849337983,-1
5b50881a59119400018abaf3,drift_rate,yn,1.503655385,0.03461763525989706,0.07867860350810778,2.3401499849337983,1
5b50881a59119400018abaf3,drift_rate,wh,1.55460365,0.0215714540212707,0.07867860350810778,2.3401499849337983,-1
5b5b455d8fb47700015830b7,boundary_separation,yn,1.3302517695,0.20203952888316443,-0.1426049688584453,1.664047299887295,1
5b5b455d8fb47700015830b7,boundary_separation,wh,1.6133961000000001,0.2251069464551487,-0.1426049688584453,1.664047299887295,-1
5b5b455d8fb47700015830b7,drift_rate,yn,1.352263781,0.04594677158555981,-0.1426049688584453,1.664047299887295,1
5b5b455d8fb47700015830b7,drift_rate,wh,1.2257740605,0.05899588541117562,-0.1426049688584453,1.664047299887295,-1
5bb6413cb4dca50001df0096,boundary_separation,yn,1.88246134,0.24031720999236333,0.1524397942969588,1.7391698204480177,1
5bb6413cb4dca50001df0096,boundary_separation,wh,2.260469455,0.36497434801751255,0.1524397942969588,1.7391698204480177,-1
