variety,condition,sentence_type,item,nsyll,npause,dur (s),phonationtime (s),speech_rate,articulation_rate,avg_syll_dur
Chilean,match,interrogative-partial-wh,Por-que-iba-a-Bolivia,3,0,1.03,1.03,2.9,2.9,0.345
Chilean,match,interrogative-total-yn,Ana-lleva-el-abrigo,6,0,1.24,1.24,4.82,4.82,0.207
Chilean,match,interrogative-total-yn,Daniel-iba-a-Bolivia,4,0,1.06,1.06,3.76,3.76,0.266
Chilean,match,interrogative-total-yn,David-leia-el-libro,5,0,1.2,1.2,4.15,4.15,0.241
Chilean,match,interrogative-total-yn,Emilio-ama-la-marcha,6,0,1.33,1.33,4.5,4.5,0.222
Chilean,match,interrogative-total-yn,Manuela-vende-el-carro,5,0,1.29,1.29,3.87,3.87,0.258
Chilean,match,interrogative-total-yn,Maria-bebe-el-vino,5,0,1.2,1.2,4.15,4.15,0.241
Chilean,match,interrogative-total-yn,Mariano-habla-del-tiempo,6,0,1.37,1.37,4.39,4.39,0.228
Chilean,match,interrogative-total-yn,Marta-abre-el-regalo,5,0,1.26,1.26,3.98,3.98,0.251
Chilean,mismatch,declarative-broad-focus,El-bebe-comia-muy-bien,6,0,1.27,1.27,4.74,4.74,0.211
Chilean,mismatch,declarative-broad-focus,El-hombre-mira-la-luna,4,0,1.12,1.12,3.57,3.57,0.28
Chilean,mismatch,declarative-broad-focus,El-nino-oye-el-rio,4,0,1.39,1.39,2.87,2.87,0.349
Chilean,mismatch,declarative-broad-focus,La-maestra-vive-en-Paris,5,0,1.22,1.22,4.09,4.09,0.244
Chilean,mismatch,declarative-broad-focus,La-nina-lava-el-plato,4,0,1.06,1.06,3.78,3.78,0.264
Chilean,mismatch,declarative-broad-focus,Mi-madre-come-la-fruta,7,0,1.19,1.19,5.86,5.86,0.171
Chilean,mismatch,declarative-broad-focus,Mi-novio-viene-del-lago,6,0,1.44,1.44,4.16,4.16,0.24
Chilean,mismatch,declarative-broad-focus,Mi-tia-odia-la-lluvia,5,0,1.34,1.34,3.74,3.74,0.267
Chilean,mismatch,declarative-narrow-focus,El-bebe-comia-muy-bien,6,0,1.29,1.29,4.64,4.64,0.216
Chilean,mismatch,declarative-narrow-focus,El-hombre-mira-la-luna,5,0,1.2,1.2,4.18,4.18,0.239
Chilean,mismatch,declarative-narrow-focus,El-nino-oye-el-rio,4,0,1.26,1.26,3.16,3.16,0.316
Chilean,mismatch,declarative-narrow-focus,La-maestra-vive-en-Paris,4,0,1.33,1.33,3.01,3.01,0.332
Chilean,mismatch,declarative-narrow-focus,La-nina-lava-el-plato,4,0,1.22,1.22,3.27,3.27,0.305
Chilean,mismatch,declarative-narrow-focus,Mi-madre-come-la-fruta,4,0,1.17,1.17,3.43,3.43,0.292
Chilean,mismatch,declarative-narrow-focus,Mi-novio-viene-del-lago,6,0,1.37,1.37,4.39,4.39,0.228
Chilean,mismatch,declarative-narrow-focus,Mi-tia-odia-la-lluvia,6,0,1.44,1.44,4.17,4.17,0.24
Chilean,mismatch,interrogative-partial-wh,Cuando-comia-la-fruta,7,0,1.24,1.24,5.64,5.64,0.177
Chilean,mismatch,interrogative-partial-wh,Cuando-lavaba-el-plato,5,0,1.28,1.28,3.92,3.92,0.255
Chilean,mismatch,interrogative-partial-wh,Cuando-miraba-la-luna,4,0,1.25,1.25,3.21,3.21,0.312
